Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2018","2018","millions","4355.901378","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2019","2019","millions","4446.43145","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2016","2016","millions","101.055517","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2017","2017","millions","84.111067","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2018","2018","millions","95.65594","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2019","2019","millions","90.631993","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2016","2016","millions","42.620935","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2017","2017","millions","39.076516","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2018","2018","millions","54.384513","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2019","2019","millions","54.728761","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2016","2016","millions","61.534931","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2017","2017","millions","45.037909","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2018","2018","millions","41.271427","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2019","2019","millions","35.903232","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23134","Agriculture (Administrations Publiques)","2016","2016","millions","92.241982","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23134","Agriculture (Administrations Publiques)","2017","2017","millions","73.307573","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23134","Agriculture (Administrations Publiques)","2018","2018","millions","90.129219","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23134","Agriculture (Administrations Publiques)","2019","2019","millions","74.473718","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23135","Agriculture, Courantes (Administrations Publiques)","2016","2016","millions","36.99829","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23135","Agriculture, Courantes (Administrations Publiques)","2017","2017","millions","30.917419","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23135","Agriculture, Courantes (Administrations Publiques)","2018","2018","millions","54.340509","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23135","Agriculture, Courantes (Administrations Publiques)","2019","2019","millions","43.577275","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23136","Agriculture, Capital (Administrations Publiques)","2016","2016","millions","55.243691","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23136","Agriculture, Capital (Administrations Publiques)","2017","2017","millions","42.393512","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23136","Agriculture, Capital (Administrations Publiques)","2018","2018","millions","35.78871","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23136","Agriculture, Capital (Administrations Publiques)","2019","2019","millions","30.896443","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23137","Sylviculture (Administrations Publiques)","2016","2016","millions","8.941455","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23137","Sylviculture (Administrations Publiques)","2017","2017","millions","10.016821","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23137","Sylviculture (Administrations Publiques)","2018","2018","millions","14.61492","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23137","Sylviculture (Administrations Publiques)","2019","2019","millions","13.900668","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23138","Sylviculture, Courantes (Administrations Publiques)","2016","2016","millions","4.937939","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23138","Sylviculture, Courantes (Administrations Publiques)","2017","2017","millions","7.380373","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23138","Sylviculture, Courantes (Administrations Publiques)","2018","2018","millions","9.796149","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23138","Sylviculture, Courantes (Administrations Publiques)","2019","2019","millions","10.113715","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23139","Sylviculture, Capital (Administrations Publiques)","2016","2016","millions","4.003516","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23139","Sylviculture, Capital (Administrations Publiques)","2017","2017","millions","2.636447","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23139","Sylviculture, Capital (Administrations Publiques)","2018","2018","millions","4.81877","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23139","Sylviculture, Capital (Administrations Publiques)","2019","2019","millions","3.786954","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23140","Pêche (Administrations Publiques)","2016","2016","millions","2.97243","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23140","Pêche (Administrations Publiques)","2017","2017","millions","0.786673","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23140","Pêche (Administrations Publiques)","2018","2018","millions","1.576529","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23140","Pêche (Administrations Publiques)","2019","2019","millions","2.257607","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23141","Pêche, Courantes (Administrations Publiques)","2016","2016","millions","0.684706","A","Chiffre officiel","Consolidated General Government Expenditure"
